x	y	z
1.400000	5.500000	94.690821
1.400000	5.700000	98.134124
1.400000	5.900000	101.577426
1.400000	6.100000	105.020729
1.400000	6.300000	108.464031
1.400000	6.500000	111.907334
1.400000	6.700000	115.350637
1.400000	6.900000	118.793939
1.400000	7.100000	122.237242
1.400000	7.300000	125.680544
1.400000	7.500000	129.123847
1.400000	7.700000	132.567150
1.400000	7.900000	136.010452
1.600000	0.500000	9.838007
1.600000	0.700000	13.773210
1.600000	0.900000	17.708413
1.600000	1.100000	21.643616
1.600000	1.300000	25.578819
1.600000	1.500000	29.514022
1.600000	1.700000	33.449225
1.600000	1.900000	37.384428
1.600000	2.100000	41.319631
1.600000	2.300000	45.254834
1.600000	2.500000	49.190037
1.600000	2.700000	53.125240
1.600000	2.900000	57.060443
1.600000	3.100000	60.995646
1.600000	3.300000	64.930849
1.600000	3.500000	68.866052
1.600000	3.700000	72.801255
1.600000	3.900000	76.736458
1.600000	4.100000	80.671661
1.600000	4.300000	84.606864
1.600000	4.500000	88.542067
1.600000	4.700000	92.477269
1.600000	4.900000	96.412472
1.600000	5.100000	100.347675
1.600000	5.300000	104.282878
1.600000	5.500000	108.218081
1.600000	5.700000	112.153284
1.600000	5.900000	116.088487
1.600000	6.100000	120.023690
1.600000	6.300000	123.958893
1.600000	6.500000	127.894096
1.600000	6.700000	131.829299
1.600000	6.900000	135.764502
1.600000	7.100000	139.699705
1.600000	7.300000	143.634908
1.600000	7.500000	147.570111
1.600000	7.700000	151.505314
1.600000	7.900000	155.440517
1.800000	0.500000	11.067758
1.800000	0.700000	15.494862
1.800000	0.900000	19.921965
1.800000	1.100000	24.349068
1.800000	1.300000	28.776172
1.800000	1.500000	33.203275
1.800000	1.700000	37.630378
1.800000	1.900000	42.057482
1.800000	2.100000	46.484585
1.800000	2.300000	50.911688
1.800000	2.500000	55.338792
1.800000	2.700000	59.765895
1.800000	2.900000	64.192998
1.800000	3.100000	68.620102
1.800000	3.300000	73.047205
1.800000	3.500000	77.474308
1.800000	3.700000	81.901412
1.800000	3.900000	86.328515
1.800000	4.100000	90.755618
1.800000	4.300000	95.182722
1.800000	4.500000	99.609825
1.800000	4.700000	104.036928
1.800000	4.900000	108.464031
1.800000	5.100000	112.891135
1.800000	5.300000	117.318238
1.800000	5.500000	121.745341
1.800000	5.700000	126.172445
1.800000	5.900000	130.599548
1.800000	6.100000	135.026651
1.800000	6.300000	139.453755
1.800000	6.500000	143.880858
1.800000	6.700000	148.307961
1.800000	6.900000	152.735065
1.800000	7.100000	157.162168
1.800000	7.300000	161.589271
1.800000	7.500000	166.016375
1.800000	7.700000	170.443478
1.800000	7.900000	174.870581
2.000000	0.500000	12.297509
2.000000	0.700000	17.216513
2.000000	0.900000	22.135517
2.000000	1.100000	27.054520
2.000000	1.300000	31.973524
2.000000	1.500000	36.892528
2.000000	1.700000	41.811531
2.000000	1.900000	46.730535
2.000000	2.100000	51.649539
2.000000	2.300000	56.568542
2.000000	2.500000	61.487546
2.000000	2.700000	66.406550
2.000000	2.900000	71.325554
2.000000	3.100000	76.244557
2.000000	3.300000	81.163561
2.000000	3.500000	86.082565
2.000000	3.700000	91.001568
2.000000	3.900000	95.920572
2.000000	4.100000	100.839576
2.000000	4.300000	105.758579
2.000000	4.500000	110.677583
2.000000	4.700000	115.596587
2.000000	4.900000	120.515591
2.000000	5.100000	125.434594
2.000000	5.300000	130.353598
2.000000	5.500000	135.272602
2.000000	5.700000	140.191605
2.000000	5.900000	145.110609
2.000000	6.100000	150.029613
2.000000	6.300000	154.948616
2.000000	6.500000	159.867620
2.000000	6.700000	164.786624
2.000000	6.900000	169.705627
2.000000	7.100000	174.624631
2.000000	7.300000	179.543635
2.000000	7.500000	184.462639
2.000000	7.700000	189.381642
2.000000	7.900000	194.300646
2.200000	0.500000	13.527260
2.200000	0.700000	18.938164
2.200000	0.900000	24.349068
2.200000	1.100000	29.759972
2.200000	1.300000	35.170876
2.200000	1.500000	40.581780
2.200000	1.700000	45.992685
2.200000	1.900000	51.403589
2.200000	2.100000	56.814493
2.200000	2.300000	62.225397
2.200000	2.500000	67.636301
2.200000	2.700000	73.047205
2.200000	2.900000	78.458109
2.200000	3.100000	83.869013
2.200000	3.300000	89.279917
2.200000	3.500000	94.690821
2.200000	3.700000	100.101725
2.200000	3.900000	105.512629
2.200000	4.100000	110.923533
2.200000	4.300000	116.334437
2.200000	4.500000	121.745341
2.200000	4.700000	127.156246
2.200000	4.900000	132.567150
2.200000	5.100000	137.978054
2.200000	5.300000	143.388958
2.200000	5.500000	148.799862
2.200000	5.700000	154.210766
2.200000	5.900000	159.621670
2.200000	6.100000	165.032574
2.200000	6.300000	170.443478
2.200000	6.500000	175.854382
2.200000	6.700000	181.265286
2.200000	6.900000	186.676190
2.200000	7.100000	192.087094
2.200000	7.300000	197.497998
2.200000	7.500000	202.908902
2.200000	7.700000	208.319806
2.200000	7.900000	213.730711
2.400000	0.500000	14.757011
2.400000	0.700000	20.659816
2.400000	0.900000	26.562620
2.400000	1.100000	32.465424
2.400000	1.300000	38.368229
2.400000	1.500000	44.271033
2.400000	1.700000	50.173838
2.400000	1.900000	56.076642
2.400000	2.100000	61.979447
2.400000	2.300000	67.882251
2.400000	2.500000	73.785055
2.400000	2.700000	79.687860
2.400000	2.900000	85.590664
2.400000	3.100000	91.493469
2.400000	3.300000	97.396273
2.400000	3.500000	103.299078
2.400000	3.700000	109.201882
2.400000	3.900000	115.104686
2.400000	4.100000	121.007491
2.400000	4.300000	126.910295
2.400000	4.500000	132.813100
2.400000	4.700000	138.715904
2.400000	4.900000	144.618709
2.400000	5.100000	150.521513
2.400000	5.300000	156.424318
2.400000	5.500000	162.327122
2.400000	5.700000	168.229926
2.400000	5.900000	174.132731
2.400000	6.100000	180.035535
2.400000	6.300000	185.938340
2.400000	6.500000	191.841144
2.400000	6.700000	197.743949
2.400000	6.900000	203.646753
2.400000	7.100000	209.549557
2.400000	7.300000	215.452362
2.400000	7.500000	221.355166
2.400000	7.700000	227.257971
2.400000	7.900000	233.160775
2.600000	0.500000	15.986762
2.600000	0.700000	22.381467
2.600000	0.900000	28.776172
2.600000	1.100000	35.170876
2.600000	1.300000	41.565581
2.600000	1.500000	47.960286
2.600000	1.700000	54.354991
2.600000	1.900000	60.749696
2.600000	2.100000	67.144400
2.600000	2.300000	73.539105
2.600000	2.500000	79.933810
2.600000	2.700000	86.328515
2.600000	2.900000	92.723220
2.600000	3.100000	99.117924
2.600000	3.300000	105.512629
2.600000	3.500000	111.907334
2.600000	3.700000	118.302039
2.600000	3.900000	124.696744
2.600000	4.100000	131.091448
2.600000	4.300000	137.486153
2.600000	4.500000	143.880858
2.600000	4.700000	150.275563
2.600000	4.900000	156.670268
2.600000	5.100000	163.064972
