Plot Name 
Original mesh grid size: 60 rows, 45 columns
x	y	z
1397.000000	-10.044875	4.817580
1397.000000	-9.221182	4.759761
1397.000000	-8.397488	4.712098
1397.000000	-7.573794	4.673113
1397.000000	-6.750101	4.643062
1397.000000	-5.926407	4.621984
1397.000000	-5.102714	4.611295
1397.000000	-4.279020	4.616075
1397.000000	-3.455326	4.649161
1397.000000	-2.631633	4.746699
1397.000000	-1.807939	5.023807
1397.000000	2.145790	5.411694
1397.000000	2.969484	5.485652
1397.000000	3.793177	5.672521
1397.000000	4.616871	5.892018
1397.000000	5.440564	6.112956
1397.000000	6.264258	6.325231
1397.000000	7.087952	6.528702
1397.000000	7.911645	6.724849
1397.000000	8.735339	6.919638
1397.000000	9.559032	7.118512
1397.000000	10.382726	7.324422
1397.000000	11.206420	7.545208
1397.000000	12.030113	7.757975
1397.000000	12.853807	7.942813
1397.000000	13.677500	8.064084
1397.000000	14.501194	8.136390
1397.000000	15.324888	8.172486
1397.000000	16.148581	8.199285
1397.000000	16.972275	8.261928
1397.000000	17.795968	8.384191
1397.000000	18.619662	8.581952
1397.000000	19.443355	8.874655
1397.000000	20.267049	9.287569
1722.000000	-19.105505	4.689877
1722.000000	-18.281811	4.580358
1722.000000	-17.458118	4.505974
1722.000000	-16.634424	4.462398
1722.000000	-15.810730	4.439593
1722.000000	-14.987037	4.425845
1722.000000	-14.163343	4.405529
1722.000000	-13.339650	4.367276
1722.000000	-12.515956	4.309880
1722.000000	-11.692262	4.231354
1722.000000	-10.868569	4.147772
1722.000000	-10.044875	4.072973
1722.000000	-9.221182	4.006913
1722.000000	-8.397488	3.950693
1722.000000	-7.573794	3.902619
1722.000000	-6.750101	3.862551
1722.000000	-5.926407	3.830102
1722.000000	-5.102714	3.806018
1722.000000	-4.279020	3.794076
1722.000000	-3.455326	3.804356
1722.000000	-2.631633	3.865877
1722.000000	-1.807939	4.071469
1722.000000	2.145790	4.312424
1722.000000	2.969484	4.351618
1722.000000	3.793177	4.481434
1722.000000	4.616871	4.639163
1722.000000	5.440564	4.801156
1722.000000	6.264258	4.960064
1722.000000	7.087952	5.115980
1722.000000	7.911645	5.270122
1722.000000	8.735339	5.426964
1722.000000	9.559032	5.590606
1722.000000	10.382726	5.763391
1722.000000	11.206420	5.951306
1722.000000	12.030113	6.137299
1722.000000	12.853807	6.304291
1722.000000	13.677500	6.423298
1722.000000	14.501194	6.505679
1722.000000	15.324888	6.560725
1722.000000	16.148581	6.609927
1722.000000	16.972275	6.689755
1722.000000	17.795968	6.820096
1722.000000	18.619662	7.014779
1722.000000	19.443355	7.291013
1722.000000	20.267049	7.671778
2047.000000	-19.105505	4.223444
